ATTBE,ATTEN,AUAGE,AUKEY,AUKNL,AUKNS,AUPIR,AUSAA,AUSAU,DISPO,EINHE,ETTBE,ETTEN,FGKEY,JTP,KEYLK,KEYLE,KEYLF,LUPDN,LUPDT,LUPDV,MENGE,ORTFR,ORTTO,STTBE,STTEN,UAZAK,UAZPL,XAU,ZINFO,DIB,PLKEY,AUDAT,AUABF,ATT20,RELFK,CINFO,FDAEN,FLAGS,MITAR,MAD,STLIK,PKART,PKL,PKLAS,PKLEA,PKNAM,PLE,EINH2,EINH3,EINH4,MENG2,MENG3,MENG4
,,GMS,768007867,571964,571812,,60,,MAUSGEP,,1.2.2024 12:03 PM,1.2.2024 12:10 PM,0,TRANS,,3641569373,,21,1.2.2024 9:28 AM,LOADCALC,6,220B,T06,1.2.2024 12:05 PM,1.2.2024 12:15 PM,1,,1.2.2024 9:28 AM,,2,,1.2.2024 12:05 PM,,1.1.2024 1:55 AM,,7,,,,SPL ,,,,,,,,,,,,0,
,,PTM,768007868,571964,,,60,,MAUSGEP,,1.2.2024 12:03 PM,1.2.2024 12:13 PM,,SUMME,,3641603513,1148281676,23,1.2.2024 9:54 AM,AUGEN;1704185695673,52,,T06,1.2.2024 12:05 PM,1.2.2024 12:15 PM,1,,1.2.2024 9:54 AM,,2,,1.2.2024 12:05 PM,,,,71,,,11,SPL ,,,,,,,,,,,,,
,,PTM,768007869,571964,,,60,,MAUSGEP,,1.2.2024 12:03 PM,1.2.2024 12:10 PM,,TSUMME,,3641603513,0,21,1.2.2024 9:54 AM,AUGEN;1704185695673,52,,T06,1.2.2024 12:05 PM,1.2.2024 12:15 PM,1,,1.2.2024 9:54 AM,,2,,1.2.2024 12:05 PM,,,,71,,,11,SPL ,,,,,,,,,,,,,
1.2.2024 10:34 AM,,GMS,768007871,571270,571812,,75,,MAUSGEP,,1.2.2024 9:53 AM,1.2.2024 10:03 AM,0,TRANS,,3641564878,,32,1.2.2024 10:34 AM,lvapps7;1704188041033,4,317 ,T12,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:34 AM,,G,,1.2.2024 9:55 AM,,1.1.2024 1:55 AM,,7,,,,GH  ,,,,,,,,,,,,0,
,,PTM,768007872,571270,,,60,,MAUSGEP,,1.2.2024 9:53 AM,1.2.2024 10:03 AM,,SUMME,,3641556715,1148255959,71,1.2.2024 10:56 AM,lvapps7;1704189373932,184,,T12,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:56 AM,,G,,1.2.2024 9:55 AM,,,,322,,,12,GH  ,,,,,,,,,,,,,182
1.2.2024 10:34 AM,,GMS,768007873,571270,,,75,,MAUSGEP,,1.2.2024 10:34 AM,1.2.2024 10:03 AM,,TSUMME,,3641556950,0,71,1.2.2024 10:56 AM,lvapps7;1704189373932,184,,T12,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:56 AM,,G,,1.2.2024 9:55 AM,,,,322,,,12,GH  ,,,,,,,,,,,,180,182
1.2.2024 7:51 AM,,GMS,768007875,571123,571812,,75,,MAUSGEP,,1.2.2024 7:47 AM,1.2.2024 7:57 AM,0,TRANS,,3641398228,,24,1.2.2024 7:51 AM,lvapps7;1704178278869,2,521S,T11,1.2.2024 7:15 AM,1.2.2024 7:25 AM,1,,1.2.2024 7:51 AM,,G,,1.2.2024 7:15 AM,,1.1.2024 1:55 AM,,7,,,,SPL ,,,,,,,,,,,,0,
,,PTM,768007876,571123,,,60,,MAUSGEP,,1.2.2024 7:47 AM,1.2.2024 7:57 AM,,SUMME,,3641395737,1148264242,38,1.2.2024 7:54 AM,lvapps7;1704178456629,43,,T11,1.2.2024 7:15 AM,1.2.2024 7:25 AM,1,,1.2.2024 7:54 AM,,G,,1.2.2024 7:15 AM,,,,189,,,20,SPL ,,,,,,,,,,,,,40
1.2.2024 7:51 AM,,PTM,768007877,571123,,,75,,MAUSGEP,,1.2.2024 7:51 AM,1.2.2024 7:57 AM,,TSUMME,,3641438849,0,38,1.2.2024 7:54 AM,lvapps7;1704178456629,42,,T11,1.2.2024 7:15 AM,1.2.2024 7:25 AM,1,,1.2.2024 7:54 AM,,G,,1.2.2024 7:15 AM,,,,189,,,20,SPL ,,,,,,,,,,,,40,40
1.2.2024 9:50 AM,,GMS,768007879,571283,571812,,75,,MAUSGEP,,1.2.2024 9:48 AM,1.2.2024 9:58 AM,0,TRANS,,3641512473,,28,1.2.2024 9:50 AM,lvapps7;1704185426504,2,356 ,T02,1.2.2024 10:05 AM,1.2.2024 10:15 AM,1,,1.2.2024 9:50 AM,,2,,1.2.2024 10:05 AM,,1.1.2024 1:55 AM,,7,,,,GH  ,,,,,,,,,,,,0,
,,PTM,768007880,571283,,,60,,MAUSGEP,,1.2.2024 9:48 AM,1.2.2024 9:58 AM,,SUMME,,3641403256,1148254321,48,1.2.2024 10:01 AM,lvapps7;1704186094322,136,,T02,1.2.2024 10:05 AM,1.2.2024 10:15 AM,1,,1.2.2024 10:01 AM,,2,,1.2.2024 10:05 AM,,,,228,,,5,GH  ,,,,,,,,,,,,,126
1.2.2024 9:50 AM,,PTM,768007881,571283,,,75,,MAUSGEP,,1.2.2024 9:50 AM,1.2.2024 9:58 AM,,TSUMME,,3641512473,0,48,1.2.2024 10:01 AM,lvapps7;1704186094322,136,,T02,1.2.2024 10:05 AM,1.2.2024 10:15 AM,1,,1.2.2024 10:01 AM,,2,,1.2.2024 10:05 AM,,,,228,,,5,GH  ,,,,,,,,,,,,126,126
,,GMS,768007889,571504,,,60,,MAUSGEP,,1.2.2024 11:15 AM,1.2.2024 11:25 AM,,TSUMME,,3641602436,0,38,1.2.2024 11:00 AM,AUGEN;1704189620875,103,245 ,T07,1.2.2024 11:05 AM,1.2.2024 11:15 AM,1,,1.2.2024 11:00 AM,,G,,1.2.2024 11:05 AM,,,,193,,,18,GH  ,,,,,,,,,,,,,
1.2.2024 10:32 AM,,PTM,768087160,571268,571134,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,49,1.2.2024 10:32 AM,lvapps7;1704187935829,4,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:32 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,65,
1.2.2024 10:32 AM,,PTM,768087161,571268,571284,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,85,1.2.2024 10:40 AM,LOADCALC,6,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,234,
